Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 122.0.0.0,,,21-03-2024 20:05:19,21-03-2024 20:05:19,0.635s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 122.0.0.0,,,21-03-2024 20:05:19,21-03-2024 20:05:20,0.343s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,21-03-2024 20:05:20,21-03-2024 20:05:20,0.139s,PASSED
,,,,,,,
Test Cases/lab04_TC,Chrome 122.0.0.0,,,21-03-2024 20:05:20,21-03-2024 20:05:25,5.651s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,21-03-2024 20:05:20,21-03-2024 20:05:21,0.925s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 122.0.0.0,,,21-03-2024 20:05:21,21-03-2024 20:05:22,0.832s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 122.0.0.0,,,21-03-2024 20:05:22,21-03-2024 20:05:24,2.867s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 122.0.0.0,,,21-03-2024 20:05:24,21-03-2024 20:05:25,0.568s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 122.0.0.0,,,21-03-2024 20:05:25,21-03-2024 20:05:25,0.310s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,21-03-2024 20:05:25,21-03-2024 20:05:25,0.138s,PASSED
